category,category_label,agencyId,eligibilityId,program,agency,bureau,funding_amt,funding_amt_notes,period_of_availability,funding_type,newprogram_yes_no,eligibility,description,eligible_uses,application,next_milestone,link,coverage,tribal_eligibility
climate,Climate Change,doa,.other,Landscape Scale Restoration Water Quality and Fish Passage,Department of Agriculture,Forest Service,"$80,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,This program improves fish and wildlife habitat connectivity and helps to recover Endangered Species Act-listed or Endangered Species Act candidate species that depend on National Forest System lands.,High priority habitats on National Forest System lands.,,FY23 allocations to regions and internal projects selected.,https://www.fs.usda.gov/detail/r9/workingtogether/grants/?cid=FSEPRD898818,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Recreation Sites,Department of Agriculture,Forest Service,"$55,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"Recreation Management. The recreation program administers recreation sites, including campgrounds and day-use areas, and special use authorizations, such as ski lodges, resorts, and outfitter guides. This program provides recreational access to over 193 million acres on national forest lands containing more than 27,000 campgrounds, picnic areas, trailheads, and day-use areas; 220,000 miles of fishable streams; and 122 ski areas.","Increasing capacity for critical recreation operations, planning, services, and improvements, with particular emphasis on creating welcoming, sustainable, and equitable recreation opportunities for all Americans.",,FY23 internal project selection and partner announcements.,https://www.fs.usda.gov/working-with-us/grants,BIL,
water,Critical clean water and wastewater infrastructure,doa,.other,Restore Native Vegetation On Federal/Non-Federal Land,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"This program ensures the productive and sustainable use of National Forest System lands by improving the condition and health of forest and rangeland vegetation, controlling the spread of invasive species, sustaining soil productivity, reducing the risk of severe flooding and erosion in areas affected by severe fire, and maintaining water quality.",Restoration carried out on National Forest System Lands and identified using the Watershed Condition Framework.,,To be determined,https://www.fs.usda.gov/managing-land/private-land/landscape-scale-restoration,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Agreement With National Oceanic and Atmospheric Administration For Geostationary Operations Environmental Satellite Program,Department of Agriculture,Forest Service,"$10,000,000",,Available until expended,Direct Federal Spending,Yes,Forest Service Funding,Defer to NOAA,Uses will be determined by the National Oceanic and Atmospheric Administration.,,To be determined,https://www.nesdis.noaa.gov/about/our-offices/goes-r-and-geoxo-programs,BIL,
climate,Climate Change,doa,".ngo, .stateGov",State Fire Assistance,Department of Agriculture,Forest Service,"$88,000,000",,Each annual $17.6 million tranche has a four-year period of availability,"Grant, Financial Assistance, Technical Assistance",No,Community And State (Primary Partners Including National Association of State Foresters And State Forestry Agencies),"Through the State Fire Assistance program, the Forest Service supports and assists State Foresters and local communities in building capacity for wildfire prevention, mitigation, control, and suppression on non-Federal lands. The program helps State agencies create more fire-adapted communities by implementing pre-fire prevention and mitigation programs and emphasizing pre-fire planning and risk reduction in the Wildland Urban Interface. The program funds important training in safer initial attack responses to wildfire that are also effective. Additionally, the program improves capacity to assist other Federal, State, and local agencies in aiding communities affected by fire and non-fire emergencies, such as hurricanes and floods",Supporting States and local communities.,,FY23 allocations to regions to states,https://sam.gov/fal/14e082e9b996414886e5fbeab432cf50/view,BIL,
climate,Climate Change,doa,".stateGov, .tribal",Forest Health Management on Federal Lands Program and Forest Health Management on Cooperative Lands Program,Department of Agriculture,Forest Service,"$100,000,000",,Each annual $20 million tranche has a four-year period of availability,Direct Federal Spending and Grants Non-Federal,No,"States, Tribes, And Other Federal Agencies","The Forest Health Management on Federal Lands program helps the National Forest System and other actively managed Federal lands to suppress forest insects and diseases. Forest Health Management on Federal Lands’ work includes technical assistance, suppression on non-Federal lands. The program helps State agencies create more fire-adapted communities by implementing pre-fire prevention and mitigation programs and emphasizing pre-fire planning and risk reduction in the Wildland Urban Interface. The program funds important training in safer initial attack responses to wildfire that are also effective. Additionally, the program improves capacity to assist other Federal, State, and local agencies in aiding communities affected by fire and non-fire emergencies, such as hurricanes and floods.","Conduct surveys to detect and appraise insect infestations and disease conditions; Determine the biological, chemical, and mechanical measures necessary to prevent, retard, control, or suppress incipient, potential, threatening, or emergency insect infestations and disease conditions affecting trees; Plan, organize, direct, and perform measures necessary to prevent, retard, control, or suppress incipient, potential, threatening, or emergency insect infestations and disease epidemics affecting trees; Provide technical information, advice, and related assistance on the various techniques available to maintain a healthy forest; Develop applied technology and conduct pilot tests of research results prior to the full-scale application of such technology in affected forests; Promote the implementation of appropriate silvicultural or management techniques that may improve or protect the health of the forests of the United States.",,FY23 project selection ongoing for non-federal and federal projects. Announced planned for June. Coordination with the National Fish and Wildlife Federation is in process for America the Beautiful.,https://sam.gov/fal/146a33b2a3dd4e8d85aa07270b4bb445/view,BIL,
climate,Climate Change,doa,".ngo, .stateGov",Volunteer Fire Assistance,Department of Agriculture,Forest Service,"$20,000,000",,Each annual $4 million tranche has a 4-yr period of availability,"Grant, Financial Assistance, Technical Assistance",No,"Community And State. National Association Of State Foresters, State Forestry Agencies, National Volunteer Fire Council And The International Association Of Fire Chiefs","The Volunteer Fire Assistance program focuses on increasing the capacity of local fire departments to provide initial attack on wildfires by providing additional firefighter training and assistance to departments with purchasing equipment. Recipients match grants dollar-for-dollar to maximize the value of the Federal investment. Rural fire departments also play a key role in educating constituents about fire adaptation and mitigation and help meet expanded fire protection needs within the wildland urban interface. Together, these initiatives combine to create more fire-adapted communities.",Excess personal property used by State and local fire forces receiving assistance.,,FY23 allocations to regions to states,https://sam.gov/fal/14e082e9b996414886e5fbeab432cf50/view,BIL,
climate,Climate Change,doa,.stateGov,State Forest Action Plans,Department of Agriculture,Forest Service,"$200,000,000",,Each annual $40 million tranche has a 4 year period of availability,Grants,No,States and Territories,"To implement State Forest Action Plans. State plans were revised in 2020 for all 59 States and territories—they offer practical and comprehensive roadmaps for investing Federal, State, local, and private resources where they can be most effective in achieving national conservation goals.",Those activities identified in State Forest Action plans.,,To be determined,https://www.fs.usda.gov/sites/default/files/20230401-cfp-request-for-applications.docx,BIL,
workforce,Training and workforce development,doa,".stateGov, .tribal, .localGov",National Seed Strategy,Department of Agriculture,Forest Service,"$60,000,000",,Each annual $12 million tranche has a four-year period of availability,Grants - non Federal,Yes,"State, Tribe, Local Units Of Government, Non-Government Organizations",Under development,Under development,,"Several native plant partnerships have been developed in the Northern Region to implement the National Seed Strategy, including the development of a Montana Native Seed Network. Three Forests are using government-furnished native seed for erosion control in timber sales and stewardship contracts.  The Idaho Panhandle is using native plants produced by the Coeur d’Alene Nursery to develop pollinator islands, following the guidance of Rocky Mountain Research Station in selecting native plants important to pollinators. The Forest Service and North Dakota State University are jointly participating in a native plant materials project to assist with reclamation efforts in Western North Dakota including the Little Missouri National Grasslands.  The Bitterroot National Forest has established an agreement with the Montana Conservation Corp (MCC) which includes native plant collection, planting, seeding, monitoring, and documentation.",https://www.usda.gov/media/blog/2017/03/13/usda-supporting-national-native-seed-strategy,BIL,
water,Critical clean water and wastewater infrastructure,doa,".stateGov, .tribal","Provide Financial Assistance To States, Tribes, And Units Of Local Government To Establish And Operate Reverse-911 Telecommunication Systems",Department of Agriculture,Forest Service,"$30,000,000",,Available until expended,Grant,Yes,State/Tribes,Establishment of reserve-911 telecommunication systems.,Establishment of reserve-911 telecommunication systems.,,To be determined,https://www.911.gov/projects/federal-funding,BIL,
energy,Clean Energy and Energy Efficiency,doa,".stateGov, .indiv, .tribal, .localGov","Distance Learning, Telemedicine, And Broadband Program: Broadband Loans",Department of Agriculture,Rural Utilities Service,"$74,000,000",,Available until expended,Direct Loan,No,Corporation; Limited Liability Company; Cooperative or Mutual Organization; A State or Local Unit of Government; Tribe or Tribal Organization Individuals and Partnerships Are Not Eligible.,"The Rural Broadband Access Loan and Loan Guarantee Program (Broadband Program) makes loans and loan guarantees to finance construction, improvement, or acquisition of facilities and equipment needed to provide high speed broadband service in eligible rural areas.","Broadband infrastructure: broadband loans provide funding on a technology-neutral basis for financing: the construction, improvement, and acquisition of facilities required to provide broadband service, including facilities required for providing other services through the same facilities; the cost of leasing facilities required to provide service at the broadband lending speed if such lease qualifies as a capital lease under Generally Accepted Accounting Principles; and the acquisition of such facilities, under certain circumstances and with restrictions. For additional detail see 7 CFR 1738",,Funding Opportunity Closed in June 2023,https://www.rd.usda.gov/programs-services/telecommunications-programs/distance-learning-telemedicine-grants,BIL,
energy,Clean Energy and Energy Efficiency,doa,".stateGov, .tribal, .ed, .localGov","Distance Learning, Telemedicine, And Broadband Program: Reconnect Program",Department of Agriculture,Rural Utilities Service,"$1,926,000,000",,Available until expended,Direct Loan/Grant/Combo,No,"Corporations; Limited Liability Companies and Limited Liability Partnerships; Cooperatives or Mutual Organizations; States or Local governments, including any agency, subdivision, instrumentality of political subdivision thereof; Territories or Possessions of The United States; and Tribes, as defined in Section 4 Of the Indian Self-Determination and Education Assistance Act (25 U.S.C. §450B)","The ReConnect Program offers loans, grants, and loan-grant combinations to build infrastructure and install equipment that provides modern, reliable, high-speed Internet service in rural America.","ReConnect Program funds can be used to fund the costs of construction, improvement, or acquisition of facilities and equipment needed to provide broadband service capable of delivering 100 Mbps symmetrical service and the acquisition of an existing system not currently providing sufficient access to broadband service, under certain circumstances, and with restrictions. Up to five percent of the award may be used for pre-application expenses.",,Additional Round of Funding Allocated / Selections Announced in July 2023,https://www.rd.usda.gov/programs-services/telecommunications-programs/distance-learning-telemedicine-grants,BIL,
climate,Climate Change,doa,.other,Joint Chiefs Landscape Restoration Partnership Program,Department of Agriculture,Forest Service,$0,"While BIL did not appropriate any funding for this program, it is funded by fees which were authorized in BIL",Available until expended,Direct Federal spending.,No,N/A,"Department of Agriculture’s Forest Service and Natural Resources Conservation Service are working together to improve the health of forests where public forests and grasslands connect to privately owned lands. Through the Joint Chiefs’ Landscape Restoration Partnership, the two Department of Agriculture agencies are restoring landscapes, reducing wildfire threats to communities and landowners, protecting water quality, and enhancing wildlife habitat.","Projects that mitigate wildfire risk, improve water quality, and restore healthy forest ecosystems on public and private lands.",,"While BIL did not appropriate any funding for this program, it is funded by fees which were authorized in BIL",https://www.nrcs.usda.gov/programs-initiatives/joint-chiefs-landscape-restoration-partnership,BIL,
